uuid,latitude,longitude,storeType,city,countryCode,houseNumber,houseNumberExtra,postalCode,street,openingDays,machineWorking,supermarketBranch
ZtYKYx4XaGcAAAFIYFcYwKxK,51.506526,5.492391,SupermarktPuP,Son en Breugel,NLD,75-77,,5691 AB,Nieuwstraat,{},,jumbo
o9YKYx4Xrc4AAAFI9lUYwKrH,51.839780,4.337996,SupermarktPuP,Spijkenisse,NLD,6,,3203 AM,Groenewoud,{},,jumbo
RsUKYx4XBp8AAAFIri0YwKxK,51.833594,4.361974,SupermarktPuP,Spijkenisse,NLD,32,,3207 KG,Hadewijchplaat,{},,jumbo
sG0KYx4XfnkAAAFIh80YwKxJ,51.832810,4.343776,SupermarktPuP,Spijkenisse,NLD,436,,3205 EM,Vlinderveen,{},,jumbo
5xMKYx4XJPoAAAFIGRwYwKxK,51.602095,4.105913,SupermarktPuP,St. Annaland,NLD,1,,4697 BB,Spuistraat,{},,jumbo
TY8KY7NbgOYAAAGAk0BG4M9e,51.638060,5.349700,SupermarktPuP,St. Michielsgestel,NLD,9,,5271 AX,Kloosterpad,{},,jumbo
opcKYx4XBbYAAAFIZ1YYwKrH,51.641610,5.352683,SupermarktPuP,St. Michielsgestel,NLD,40,,5271 AD,Nieuwstraat,{},,jumbo
n5MKYx4XLxAAAAFIG.EYwKxJ,52.923021,5.740684,SupermarktPuP,St. Nicolaasga,NLD,1,,8521 KD,Molewei,{},,jumbo
JygKYx4XSVYAAAFlg8UV9qHu,51.561974,5.460663,SupermarktPuP,St. Oedenrode,NLD,1,,5492 BA,Hertog Hendrikstraat,{},,jumbo
Fr8KYx4XQqMAAAFIcFYYwKrH,51.571694,5.456683,SupermarktPuP,St. Oedenrode,NLD,11,,5491 JN,Pieter Christiaanstraat,{},,jumbo
fVUKYx4XPOoAAAFn7NMmYQqi,51.545755,4.590182,SupermarktPuP,St. Willebrord,NLD,17,,4711 KH,Kievitstraat,{},,jumbo
o3sKYx4XET4AAAFIE_cYwKxJ,52.986461,6.955697,SupermarktPuP,Stadskanaal,NLD,6,,9501 CT,Beneluxlaan,{},,jumbo
mcUKYx4X0TwAAAFIuVAYwKxK,52.994637,6.941398,SupermarktPuP,Stadskanaal,NLD,13,,9501 EP,Poststraat,{},,jumbo
